primary_name,Type,GAMES,CHARGESPERPERSON,DURATION,ANYOutdoorINFORMATION,MINMAXCAPONNUMBEROFGUESTS
Sterling Ooty Fern Hill,Indoor,Square MDF painting,400+(18% Gst + 5% SC),,,Min 1/Max 1
Sterling Ooty Fern Hill,Indoor,Heart MDF painting ss,150+(18% Gst + 5% SC),,,Min 1/Max 1
Sterling Ooty Fern Hill,Indoor,Heart MDF painting S,200+(18% Gst + 5% SC),,,Min 1/Max 1
Sterling Ooty Fern Hill,Indoor,Heart MDF painting M,250+(18% Gst + 5% SC),,,Min 1/Max 1
Sterling Ooty Fern Hill,Indoor,Heart MDF painting L,350+(18% Gst + 5% SC),,,Min 1/Max 1
Sterling Ooty Fern Hill,Indoor,Square MDF painting,400+(18% Gst + 5% SC),,,Min 1/Max 1
Sterling Ooty Fern Hill,Indoor,Bottle Painting,300+(18% Gst + 5% SC),,,Min 1/Max 1
Sterling Ooty Fern Hill,Indoor,Emboss painting,400+(18% Gst + 5% SC),,,Min 1/Max 1
Sterling Ooty Fern Hill,Indoor,Quelling Card,300+(18% Gst + 5% SC),,,Min 1/Max 1
Sterling Ooty Fern Hill,Indoor,Greeting Card Making,NA,,,
Sterling Ooty Fern Hill,Indoor,Paper craft,NA,,,
Sterling Ooty Fern Hill,Indoor,Paper Drawing,NA,,,
Sterling Ooty Fern Hill,Outdoor,Paint ball,127+(18% Gst + 5% SC),10 shots,,Min 1/Max 1
Sterling Ooty Fern Hill,Outdoor,Archery,127+(18% Gst + 5% SC),8 shots,,Min 1/Max 1
Sterling Ooty Fern Hill,Outdoor,Trampolin,121+(18% Gst + 5% SC),10 mins,They can jump alone or jump together,Min 1/Max 2
Sterling Ooty Fern Hill,Outdoor,High Rope,423+(18% Gst + 5% SC),,,Min 1/Max 2
Sterling Ooty Fern Hill,Outdoor,Low Rope,338+(18% Gst + 5% SC),,,Min 1/Max 2
Sterling Ooty Fern Hill,Outdoor,wall climbing,338+(18% Gst + 5% SC),,,Min 1/Max 2
Sterling Ooty Fern Hill,Outdoor,Zipline,250+(18% Gst + 5% SC),,,Min 1/Max 1
Sterling Ooty Fern Hill,Outdoor,Badga Dance,15000+(18% Gst + 5% SC),,,Group
Sterling Ooty Fern Hill,Outdoor,Toda Dance,15000+(18% Gst + 5% SC),,,Group
Sterling Ooty Fern Hill,Outdoor,Bonfire with music,12000+(18% Gst + 5% SC),,,Group
Sterling Ooty Fern Hill,Outdoor,Team Building Activity,15000+(18% Gst + 5% SC),,,Group
Sterling Ooty Fern Hill,Outdoor,Jeep Safari,7500+(18% Gst + 5% SC),,,Min 1/Max 5
Sterling Ooty Fern Hill,Outdoor,Cairnl Trekking,300+(18% Gst + 5% SC),,,Group
Sterling Ooty Fern Hill,Outdoor,Lavdale Trekking,300+(18% Gst + 5% SC),,,Group
Sterling Ooty Fern Hill,Outdoor,valley view point,400+(18% Gst + 5% SC),,,Group
Sterling Ooty Fern Hill,Outdoor,Organic Farm Visit,2000+(18% Gst + 5% SC),,INR. 2000+tax Charges is for Min 1/Max 4,Group
Sterling Ooty Fern Hill,Outdoor,Tribal Interaction,300+(18% Gst + 5% SC),,,Group
Sterling Wayanad,Indoor,Table Tennis,Comp,,,
Sterling Wayanad,Indoor,Foosball,Comp,,,
Sterling Wayanad,Indoor,Board Games,Comp,,,
Sterling Wayanad,Indoor,Kids corner with soft toys,Comp,,,
Sterling Wayanad,Indoor,Pool Table,100+ 23.9% taxes (118/-),15 mins,,
Sterling Wayanad,Indoor,Car Stimulator,200 + 23.9% taxes (236),30 mins,,
Sterling Wayanad,Indoor,Air Hockey,100+ 23.9%tax (118/-) for 3 coins,15 mins,,
Sterling Wayanad,Indoor,PS4,100+ 23.9% taxes (118/-),30 mins,,
Sterling Wayanad,Indoor,VR Games,350 + 23.9% taxes (413/-),40 mins,,
Sterling Wayanad,Outdoor,Nature walk- / Loop Walk,200+ 23.9% taxes per head (118/-),2.5 hours,,
Sterling Wayanad,Outdoor,Archery,150 + 23.9% taxes for 10 shots (117/-,15 mins,,
Sterling Wayanad,Outdoor,Zip Line,250 + 23.9% taxes (295/-),5 mins,,
Sterling Wayanad,Outdoor,Pottery demo,282 + 23.9% taxes,15 mins,,
Sterling Wayanad,Outdoor,Water Pellet gun shooting,250 +23.9% taxes (295/-),15 mins,,
Sterling Wayanad,Outdoor,Fish Feeding experience,1 packet (20/-net),15 mins,,
Sterling Wayanad,Outdoor,Cycling,100 + 23.9% taxes (118/-),1 hour,,
Sterling Wayanad,Outdoor,Evening,Complimentary,1.5 hours,,
Sterling Wayanad,Outdoor,Swimming pool,Complimentary,,,
Sterling Wayanad,Outdoor,Kids play area,Complimentary,,,
Sterling Wayanad,Outdoor,Mini Gym,Complimentary,,,
Sterling Pushkar,Indoor,Ludo,Complimentary,,,4 Pax
Sterling Pushkar,Indoor,Chess,Complimentary,,,2 Pax Max
Sterling Pushkar,Indoor,Housie,Complimentary,Unlimited,,10 Pax
Sterling Pushkar,Indoor,Carrom Board,Complimentary,Unlimited,,4 Pax
Sterling Pushkar,Outdoor,Cricket,Complimentary,Unlimited,,10 Pax
Sterling Pushkar,Outdoor,Badminton,Complimentary,Unlimited,,4 Pax
Sterling Pushkar,Outdoor,Volley Ball,Complimentary,Unlimited,,6 Pax Max
Sterling Pushkar,Outdoor,Horse Riding,1000+GST,2 hrs,,1 Pax Max
Sterling Pushkar,Outdoor,Camel Riding,1000+GST,2 hrs,,2 Pax Max
Sterling Pushkar,Outdoor,Camel Cart Ride,1200+GST,2 hrs,,6 Pax Max
Sterling Pushkar,Outdoor,Jeep Riding,3000+GST,2 hrs,,6 Pax Max
Sterling Pushkar,Outdoor,Desert bike,2000+GST,2 hrs,,2 Pax Max
Sterling Pushkar,Outdoor,Mini Gym,complimentary,,,
Sterling Banashree Badami,Indoor,Table Tennis,FOC,Unlimited,NA,4 pax max
Sterling Banashree Badami,Indoor,Carrom,FOC,Unlimited,NA,4 pax max
Sterling Banashree Badami,Indoor,chess,FOC,Unlimited,NA,2 pax
Sterling Banashree Badami,Indoor,badminton,FOC,Unlimited,NA,2 pax
Sterling Rewild Sariska,Indoor,Table Tennis,,,,
Sterling Rewild Sariska,Indoor,Pool Table,,,,
Sterling Rewild Sariska,Indoor,Video Game,,,,
Sterling Rewild Sariska,Indoor,DJ and Games,,,Every evening for inhouse guests,
Sterling Rewild Sariska,Outdoor,Burma Bridge,,,,
Sterling Rewild Sariska,Outdoor,Zip Line,,,,
Sterling Rewild Sariska,Outdoor,Rafting,,,,
Sterling Rewild Sariska,Outdoor,Commando Net,,,,
Sterling Rewild Sariska,Outdoor,Bornfire,,,,
Sterling Stolen Heaven,Indoor,Table Tennis,,,,
Sterling Stolen Heaven,Indoor,Carrom,,,,
Sterling Stolen Heaven,Indoor,Ludo,,,,
Sterling Stolen Heaven,Indoor,Chess,,,,
Sterling Stolen Heaven,Outdoor,Nature walk,250 plus 18% GST plus 5% service charges,2 hours,,
Sterling Stolen Heaven,Outdoor,Cycling Adult,100 plus 18% GST plus 5% service charges,30 mins,,
Sterling Stolen Heaven,Outdoor,Cycling Kids,100 plus 18% GST plus 5% service charges,30 mins,,
Sterling Marbella Dehradun,Indoor,GYM,complimentry for inhouse guests,,,maximum 2pax
Sterling Yelagiri,Indoor,Table Tennis,Comp,,,
Sterling Yelagiri,Indoor,Chess,Comp,,,
Sterling Yelagiri,Indoor,carrom board,Comp,,,
Sterling Yelagiri,Indoor,DJ evenings are there,,,,
Sterling Yelagiri,Outdoor,Badminton,Comp,,,
Sterling Yelagiri,Outdoor,Trekking,500 net,3 hrs total,,Minimum 5 pax / max 50
Sterling Yelagiri,Outdoor,DJ Evening,,,,
Sterling Yelagiri,Outdoor,Karaoke night,,,,
Sterling Yelagiri,Outdoor,Bonfire with music,,,,
Sterling Yelagiri,Outdoor,Housie game,,,,
Sterling Anaikatti,Indoor,Table Tennis,Nil,Nil,,
Sterling Anaikatti,Indoor,Badminton,Nil,Nil,,
Sterling Anaikatti,Indoor,Carrom,Nil,Nil,,
Sterling Anaikatti,Indoor,Chess,Nil,Nil,,
Sterling Anaikatti,Indoor,Jenga,Nil,Nil,,
Sterling Anaikatti,Indoor,Tambola,Nil,Nil,,
Sterling Anaikatti,Indoor,Golf,124,1 Hour,,
Sterling Anaikatti,Indoor,Playing Cards,Nil,Nil,,
Sterling Anaikatti,Indoor,Pedal Boat,248,1 Hour,,
Sterling Anaikatti,Indoor,Cycling,124,30 Minutes,,
Sterling Anaikatti,Indoor,Water Gun Shooting,248,1 Round,,
Sterling Anaikatti,Outdoor,Koodapatti River Walk,1800,2 Hour,,
Sterling Anaikatti,Outdoor,Narasimukku view point,1800,2 Hour,,
Sterling Anaikatti,Outdoor,Night Safari,2850,1 Hour 30 Minutes,,
Sterling Darjeeling,Indoor,Table Tennis,NA,,,
Sterling Darjeeling,Indoor,Pool Table,N/A,,,
Sterling Darjeeling,Indoor,Air Gun,100/- + (10 Shots),,,
Sterling Darjeeling,Indoor,Air Hockey,30/- +(3.30 Seconds),,,
Sterling Darjeeling,Indoor,Archery,100/- + (10 Shots),,,
Sterling Darjeeling,Outdoor,Para Gliding,INR 4000/-,,,1
Sterling Darjeeling,Outdoor,Rafting,INR 1200/-,,,6
Sterling Kodai Valley,Indoor,Table Tennis,Complimentary,,,
Sterling Kodai Valley,Indoor,Pool Table,100++ (125Net),30 min,,
Sterling Kodai Valley,Indoor,Ps4,200++ (250Net),30 min,,
Sterling Kodai Valley,Indoor,3D Movie Theatre,250Net,2hrs,,
Sterling Kodai Valley,Indoor,IB Cricket,250++ (310Net),3 overs,,
Sterling Kodai Valley,Indoor,Water Pallet,250++ (310Net),100 bullets,,
Sterling Kodai Valley,Indoor,Board Games,Complimentary,,,
Sterling Kodai Valley,Indoor,Glass Painting,310 Net,,,
Sterling Kodai Valley,Indoor,Canvas Painting,372 Net,,,
Sterling Kodai Valley,Indoor,Emboss Painting,434 Net,,,
Sterling Kodai Valley,Indoor,VR Games,310 Net,,,
Sterling Kodai Valley,Outdoor,Badminton,Complimentary,,,
Sterling Kodai Valley,Outdoor,Basket Ball,Complimentary,,,
Sterling Kodai Valley,Outdoor,Cricket,Complimentary,,,
Sterling Kodai Valley,Outdoor,Archery,372 Net,30 arrows,,
Sterling Kodai Valley,Outdoor,Trecking,300++ (372Net) per person,,,
Sterling Kodai Valley,Outdoor,Bonfire,10000+Tax,upto 10 pax,,
Sterling Kodai Valley,Outdoor,Bonfire with Light Music,15000+Tax,upto 20 Pax,,
Sterling Kodai Valley,Outdoor,Kombai River Jeep Ride,7000 Net,,,
Sterling Kodai Valley,Outdoor,Kombai River Camper Ride,10000 Net,,,
Sterling Kodai Valley,Outdoor,Off Road Jeep Ride,6600 Net,,,
Sterling Kodai Valley,Outdoor,Off Road Camper Ride,9600 Net,,,
Sterling Nainital,Indoor,Pool Table,200+18% GST,30 Min,,N/A
Sterling Nainital,Indoor,Video Game,200+18% GST,30 Min,,N/A
Sterling Nainital,Indoor,Air Hockey,200+18% GST,9 Min,,N/A
Sterling Nainital,Indoor,Billiards Table,200+18% GST,30 Min,,N/A
Sterling Nainital,Indoor,Table Tennis,N/A,N/A,,N/A
Sterling Nainital,Indoor,"Bord Games (Carrom,Chess,Ludo,Etc",N/A,N/A,,N/A
Sterling Nainital,Outdoor,Atv Ride,Rs 400 To Rs 1000,Per Lap,,Not possible during Monsoons
Sterling Nainital,Outdoor,Zip Line,600+18% GST,N/A,,Not possible during Monsoons
Sterling Nainital,Outdoor,Paragliding,2000+18% GST,5 to 10 Min,,Not possible during Monsoons
Sterling Nainital,Outdoor,Silk Trek,200+18% GST,N/A,,Not possible during Monsoons
Sterling Nainital,Outdoor,Pine forest trek,200+18% GST,N/A,,Not possible during Monsoons
Sterling Nainital,Outdoor,Bon Fire,8000+18% GST,2 Hour,,Not possible during Monsoons
Sterling Nainital,Outdoor,Sigdi,500+18% GST,N/A,,
Sterling Nainital,Outdoor,Badminton,N/A,N/A,,Not possible during Monsoons
Sterling Goa Varca,Indoor,Table Tennis,Comp,,They can play singles and doubles also,Min 2/Max 4
Sterling Goa Varca,Indoor,Carrom,Comp,,They can play singles and doubles also,Min 2/Max 4
Sterling Goa Varca,Indoor,Chess,Comp,,They can play singles and doubles also,Min 2/Max 4
Sterling Goa Varca,Indoor,Ludo/Snake & ladder,Comp,,They can play singles and doubles also,Min 2/Max 4
Sterling Goa Varca,Indoor,Pool table,105 + GST (18%),30 min,In between they want to change a player they can change,Min 2/Max 4
Sterling Goa Varca,Indoor,Fooz ball,105 + GST (18%),30 min,In between they want to change a player they can change,Min 2/Max 4
Sterling Goa Varca,Indoor,Ice Hockey,105 + GST (18%),30 min,In between they want to change a player they can change,Min 2/Max 2
Sterling Goa Varca,Indoor,Fish Spa - Solo,300 + GST (18%),15 min,,Min 1/Max 1
Sterling Goa Varca,Indoor,Fish Spa - Couple,500 + GST (18%),15 min,,Min 2/Max 2
Sterling Goa Varca,Indoor,Hand Casting Kids,300 + GST (18%),15 - 20 min,,Min 1/Max 1
Sterling Goa Varca,Indoor,Hand Casting Adult,500 + GST (18%),15 - 20 min,,Min 1/Max 1
Sterling Goa Varca,Indoor,Hand Casting Couple,800 + GST (18%),15 - 20 min,,Min 2/Max 2
Sterling Goa Varca,Indoor,Cycle Adult,105 + GST (18%),1 Hr,,Min 1/Max 1 per cycle
Sterling Goa Varca,Indoor,B Live Bike Tour (with guide),2000 + GST (18%),2 Hrs,,per cycle - Min 1/Max 10
Sterling Goa Varca,Indoor,Swimming Classes,200 + GST (18%),1 Hr,,Min 1/Max 1
Sterling Goa Varca,Indoor,Play station,105 + GST (18%),30 min,In between they want to change a player they can change,Min 1/Max 1
Sterling Goa Varca,Outdoor,Cricket Balling Machine,,,available Oct-Mar,₹ 499 + GST 18% for 60 Balls
Sterling Goa Varca,Outdoor,Trampoline,,,available Oct-Mar,₹ 299 + GST 18% for 1 day / person
Sterling Goa Varca,Outdoor,Children Boating,,,,₹ 249 + GST 18% for 15 minutes
Sterling Goa Varca,Outdoor,Children Battery vehicles,,,,₹ 249 + GST 18% for 10 minutes
Sterling Goa Varca,Outdoor,Aqua Zorbing,,,,₹ 249 + GST 18% for 10 minutes
Sterling Gangtok Orange Village,Indoor,Kids Toys,Complimentary,,,
Sterling Padam Pench,Indoor,"Ludo , snakes and ladders,Badminton in open area,Chess,Pool Table,Table tennis",,,,
Sterling Mantra Haridwar,Outdoor,"Ludo , snakes and ladders",,,,
Sterling Mantra Haridwar,Outdoor,Chess,,,,
Sterling Mantra Haridwar,Outdoor,Playing card,,,,
Sterling Mantra Haridwar,Outdoor,Bonfire for group,3500,3 Hrs,,50 Guest
Sterling Shivalik Chail,Indoor,Carrom Board,,,,
Sterling Shivalik Chail,Indoor,Mini Soccer,,,,
Sterling Shivalik Chail,Indoor,"Ludo , snakes and ladders",,,,
Sterling Shivalik Chail,Indoor,Chess,,,,
Sterling Shivalik Chail,Indoor,Playing card,,,,
Sterling Shivalik Chail,Indoor,Memory games,,,,
Sterling Shivalik Chail,Indoor,Jenga,,,,
Sterling Shivalik Chail,Indoor,Badminton in open area,,,,
Sterling Shivalik Chail,Indoor,Dart game,,,,
Sterling Shivalik Chail,Outdoor,Bonfire,1999,,,for Couple
Sterling Shivalik Chail,Outdoor,Bonfire for group,3900,,,50pax
Sterling Shivalik Chail,Outdoor,Paragliding,2850,,,
Sterling Shivalik Chail,Outdoor,Adventure activities,1000,,Zipline-Bridge crossing- Rope climbing,
Sterling Shivalik Chail,Outdoor,Village Tour along with Himachali food,1300,,,
Sterling Shivalik Chail,Outdoor,Village Tour,500,2 hrs,,
Sterling Shivalik Chail,Outdoor,Jungle trek,500,2 hrs,,min 2 pax
Sterling Shivalik Chail,Outdoor,Glass painting,250,,,
Sterling Shivalik Chail,Outdoor,Cycling,200,,,
Sterling Legacy Shimla,N/A,N/A,N/A,N/A,N/A,"We don’t have a D&E area since it's located on Mall Road in Shimla, but we provide boards to guests in their rooms based on their requirements"
Sterling Panchgani,Indoor,Table Tennis,,,,
Sterling Panchgani,Indoor,Carom,,,,
Sterling Panchgani,Indoor,Ludo,,,,
Sterling Panchgani,Indoor,Chess,,,,
Sterling Panchgani,Outdoor,Mountain Trekking,550 plus 18% GST plus 5% service charges,2hrs,,
Sterling Panchgani,Outdoor,Bird Watching,550 plus 18% GST plus 5% service charges,2hrs,,
Sterling Vythiri Wayanad,Indoor,Carom,Complimentary,,,
Sterling Vythiri Wayanad,Indoor,Chess,Complimentary,,,
Sterling Vythiri Wayanad,Indoor,Playing cards,Complimentary,,,
Sterling Vythiri Wayanad,Outdoor,Badminton,Complimentary,,,
Sterling Vythiri Wayanad,Outdoor,Cycling,Complimentary,,,
Sterling Vythiri Wayanad,Outdoor,Swimming Pool,Complimentary,,,
Sterling Balicha Udaipur,Indoor,Pool Table,300+gst per Frame,1-1.5 hours,NA,2
Sterling Balicha Udaipur,Indoor,Table Tennis,NA,35 min,NA,2
Sterling Balicha Udaipur,Indoor,Carrom,NA,35 min,NA,4
Sterling Balicha Udaipur,Indoor,Ludo,NA,35 min,NA,2
Sterling Balicha Udaipur,Indoor,Snakes & Ladder,NA,35 min,NA,2
Sterling Balicha Udaipur,Indoor,Housie,NA,35 min,NA,group of pax
Sterling Balicha Udaipur,Indoor,Chess,NA,35 min,NA,2
Sterling Balicha Udaipur,Outdoor,Yoga,INR 1000 per person for 01 hour session,60 minutes,N/A,N/A
Sterling Balicha Udaipur,Outdoor,Bornfire,8000 + taxes,2 hrs,from 7:30 Pm to 09: 30 Pm,
Sterling Corbett,Indoor,Table Tennis,,,,
Sterling Corbett,Indoor,Video Game,,,,
Sterling Corbett,Indoor,Carrom,,,,
Sterling Corbett,Indoor,Bord Games,,,,
Sterling Corbett,Indoor,Badmainton,,,,
Sterling Corbett,Outdoor,Bonfire,2500+18%GST,2Hrs,Only for inhouse guests,max. 20 Pax.
Sterling Corbett,Outdoor,Burma Bridge,200+18% GST,,Only for inhouse guests,
Sterling Corbett,Outdoor,Zip Line,300+18% GST,,Only for inhouse guests,
Sterling Corbett,Outdoor,Gun Shooting,200+18% GST,,Only for inhouse guests,
Sterling Corbett,Outdoor,Archery,250+18% GST,,Only for inhouse guests,
Sterling Corbett,Outdoor,Pistol Shooting,200+18% GST,,Only for inhouse guests,
Sterling Corbett,Outdoor,Bird Watching,400+18% GST,2 hrs,Only for inhouse guests,min 2 persons
Sterling Corbett,Outdoor,Trekking,300+18% GST,2 hrs,Only for inhouse guests,min 2 persons
Sterling Corbett,Outdoor,Double Rope Bridge,200+18% GST,,Only for inhouse guests,
Sterling Corbett,Outdoor,River Side Walk,300+18% Gst Per Person,02 Hour,,1-5 guests
Sterling Corbett,Outdoor,Village tour,350+18% GST Per Person,02 Hour,,1-5 guests
Sterling Corbett,Outdoor,Fun Tour,4200+18% GST Per Vehicle,03 Hour,,1-5 guests
Sterling Athirappilly,Indoor,Snooker,150+ tax,half an hour,,
Sterling Athirappilly,Indoor,Carrom,COMP,24 Hours,,
Sterling Athirappilly,Indoor,Chess,COMP,24 Hours,,
Sterling Athirappilly,Indoor,Board Games,COMP,24 Hours,,
Sterling Athirappilly,Outdoor,Waterfall Trek,INR 750 + tax,60 min,Subject to suitable weather conditions/ KFWD regulations,Per person
Sterling Athirappilly,Outdoor,Nature Walk,INR 950 + tax,120 min,Subject to suitable weather conditions/ KFWD regulations,Per person
Sterling Athirappilly,Outdoor,Jeep Safari,INR 4500 + tax,120 min,Subject to suitable weather conditions/ KFWD regulations,Group of 5
"
 Sterling City Centre Bokaro",,Carrom,FOC,Unlimited,NA,4 pax max
Sterling Orient Woods,Indoor,Pool Table,FOC,30 Min,NA,4 pax max
Sterling Orient Woods,Indoor,Cheese,FOC,01 hr,NA,2 pax max
Sterling Orient Woods,Indoor,Outdoor Cheese,FOC,01 hr,NA,2 pax max
Sterling Orient Woods,Indoor,Cricker-Garden,FOC,Unlimited,NA,22 Pax Max
Sterling Orient Woods,Indoor,Badminton,FOC,30 Min,NA,4 pax max
Sterling Nainital,Indoor,Pool Table,200+18% GST,30 Min,,N/A
Sterling Nainital,Indoor,Video Game,200+18% GST,30 Min,,N/A
Sterling Nainital,Indoor,Air Hockey,200+18% GST,9 Min,,N/A
Sterling Nainital,Indoor,Billiards Table,200+18% GST,30 Min,,N/A
Sterling Nainital,Indoor,Table Tennis,N/A,N/A,,N/A
Sterling Nainital,Indoor,"Bord Games (Carrom,Chess,Ludo,Etc",N/A,N/A,,N/A
Sterling Nainital,Outdoor,Atv Ride,Rs 400 To Rs 1000,Per Lap,,Not possible during Monsoons
Sterling Nainital,Outdoor,Zip Line,600+18% GST,N/A,,Not possible during Monsoons
Sterling Nainital,Outdoor,Paragliding,2000+18% GST,5 to 10 Min,,Not possible during Monsoons
Sterling Nainital,Outdoor,Silk Trek,200+18% GST,N/A,,Not possible during Monsoons
Sterling Nainital,Outdoor,Pine forest trek,200+18% GST,N/A,,Not possible during Monsoons
Sterling Nainital,Outdoor,Bon Fire,8000+18% GST,2 Hour,,Not possible during Monsoons
Sterling Nainital,Outdoor,Sigdi,500+18% GST,N/A,,
Sterling Nainital,Outdoor,Badminton,N/A,N/A,,Not possible during Monsoons
Sterling Corbett,Indoor,Table Tennis,NA,,,
Sterling Corbett,Indoor,Video Game,400+18%GST,30 Min.,,
Sterling Corbett,Indoor,Carrom,NA,,,
Sterling Corbett,Indoor,Bord Games,NA,,,
Sterling Corbett,Indoor,Badmainton,NA,,,
Sterling Corbett,Outdoor,Bonfire,2500+18%GST,2Hrs,Only for inhouse guests,max. 20 Pax.
Sterling Corbett,Outdoor,Burma Bridge,200+18% GST,,Only for inhouse guests,
Sterling Corbett,Outdoor,Zip Line,300+18% GST,,Only for inhouse guests,
Sterling Corbett,Outdoor,Gun Shooting,200+18% GST,,Only for inhouse guests,
Sterling Corbett,Outdoor,Archery,250+18% GST,,Only for inhouse guests,
Sterling Corbett,Outdoor,Pistol Shooting,200+18% GST,,Only for inhouse guests,
Sterling Corbett,Outdoor,Bird Watching,400+18% GST,2 hrs,Only for inhouse guests,min 2 persons
Sterling Corbett,Outdoor,Trekking,300+18% GST,2 hrs,Only for inhouse guests,min 2 persons
Sterling Corbett,Outdoor,Double Rope Bridge,200+18% GST,,Only for inhouse guests,
Sterling Corbett,Outdoor,River Side Walk,300+18% Gst Per Person,02 Hour,,1-5 guests
Sterling Corbett,Outdoor,Village tour,350+18% GST Per Person,02 Hour,,1-5 guests
Sterling Corbett,Outdoor,Fun Tour,4200+18% GST Per Vehicle,03 Hour,,1-5 guests
Sterling Aravalli,Indoor,Carrom,NA,,2 person or 4 person can play together,Min 2/Max 4
Sterling Aravalli,Indoor,Zenga,NA,,2person or 4 person can play together,Min 2/Max 4
Sterling Aravalli,Indoor,Chess,NA,,,Min 2
Sterling Aravalli,Indoor,Ludo,NA,,,Min 2/Max 4
Sterling Aravalli,Indoor,Board Games,NA,,,Min 2/Max 2
Sterling Aravalli,Indoor,PS5,200+23.9%tax(18%Gst+5%SC),30 Mins,,Min 1
Sterling Aravalli,Indoor,T.T Table,NA,,,Group
Sterling Aravalli,Indoor,Foosball,NA (In house guest),,In between they want to change a player they can change,Min 2/ Max 4
Sterling Aravalli,Outdoor,Team building game,NA,,In between they want to change a player they can change,Min 2/Max 2
Sterling Aravalli,Outdoor,Cycling (Small),200+23.9%tax(18%Gst+5%SC),30 Mins,,Depend
Sterling Aravalli,Outdoor,Water Zorbing,200+(18% Gst + 5% SC),10 mins,,Depend
Sterling Aravalli,Outdoor,Cricket,Complimentary,,,Depend
Sterling Aravalli,Outdoor,Village Walk,500.+(18% Gst + 5% SC),2 Hour,,Min 1/Max 1
Sterling Aravalli,Outdoor,Temple Visit,300+23.9 %tax (18% Gst + 5% SC),2 Hour,,Depend
Sterling Aravalli,Outdoor,Archery,200+23.9 %tax (18% Gst + 5% SC),10 short,,Min 1
Sterling Aravalli,Outdoor,cycle(Big),200+23.9 %tax (18% Gst + 5% SC),30 Mins,,Min 1
Sterling Aravalli,Evening,Family Fun games,NA,1 Hour,Everyday between 7:30 pm to 8:30pm (varies as per availability and guest choice),
Sterling Aravalli,Evening,DJ,NA,1 Hour,Everyday between 7:30 pm to 8:30pm (varies as per availability and guest choice),
Sterling Aravalli,Evening,Masic show,NA,1 Hour,Everyday between 7:30 pm to 8:30pm (varies as per availability and guest choice),
Sterling Aravalli,Evening,Puppet Show,NA,1 Hour,Everyday between 7:30 pm to 8:30pm (varies as per availability and guest choice),
Sterling Aravalli,Evening,Housie,NA,1 Hour,Everyday between 7:30 pm to 8:30pm (varies as per availability and guest choice),
Sterling Aravalli,Evening,Rajashan Folk Dance,NA,1 Hour,Everyday between 7:30 pm to 8:30pm (varies as per availability and guest choice),